stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
1058,1688,2018-03-01T20:28:57.131580,ADWIN,0.005294140579314647,0.007364241803278689,True,error increased,1,ffnn_ewc_replay,adwin
1073,1709,2018-03-02T12:47:36.499503,ADWIN,0.002767974534634281,0.004023605150214592,True,error increased,1,ffnn_ewc_replay,adwin
1077,1715,2018-03-02T13:03:08.609046,ADWIN,0.0025364919837281646,0.0030204460966542753,False,refractory period,1,ffnn_ewc_replay,adwin
1078,1717,2018-03-02T13:09:17.357015,ADWIN,0.005772208925805998,0.0044407894736842105,False,error decreased,1,ffnn_ewc_replay,adwin
1095,1741,2018-03-02T14:14:21.355369,ADWIN,0.001204207643176747,0.0013258961228968544,True,error increased,1,ffnn_ewc_replay,adwin
1097,1744,2018-03-02T14:22:09.547822,ADWIN,0.0026599281819390877,0.005257009345794392,False,refractory period,2,ffnn_ewc_replay,adwin
1126,1785,2018-03-02T16:09:49.796878,ADWIN,0.0017695401293932507,0.008522727272727272,True,error increased,2,ffnn_ewc_replay,adwin
1140,1805,2018-03-02T17:16:50.423856,ADWIN,0.0014709487619514587,0.0016049848942598188,True,error increased,1,ffnn_ewc_replay,adwin
1143,1809,2018-03-02T17:28:17.031496,ADWIN,0.0025983399494767232,0.0034482758620689655,False,refractory period,1,ffnn_ewc_replay,adwin
1155,1827,2018-03-02T18:14:54.563419,ADWIN,0.0015060487501432384,0.01893939393939394,True,error increased,1,ffnn_ewc_replay,adwin
1156,1828,2018-03-02T18:17:30.731893,ADWIN,0.005001250312578144,0.0014334862385321102,False,error decreased,1,ffnn_ewc_replay,adwin
1168,1845,2018-03-02T19:03:54.338772,ADWIN,0.0008117020377103239,0.004261363636363636,True,error increased,1,ffnn_ewc_replay,adwin
1181,1864,2018-03-02T19:53:10.527917,ADWIN,0.0012808839642587076,0.003615702479338843,True,error increased,2,ffnn_ewc_replay,adwin
