model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
gnn_replay,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,809.9364886357263,0.0
gnn_replay,none,1,DoS,0.0004285072936881783,0.005353733670181494,0.005157300169698841,,,,0.00039660882043409106,0.0008677802231847072,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,6.32845613318929,0.0
gnn_replay,none,2,WebAttack,0.00017798927126382795,0.0,0.007458750255070714,,,,0.0009338484128171481,0.0004199663988554589,0.0,0.0,0.0,0.0005307339287906277,0.013813972128419885,1.1501438360866312,0.0
gnn_replay,none,3,Infiltration,0.0021513034816556145,0.03900065804785698,0.011531700081037025,,,,0.00028138923001585917,0.003914174692069149,0.0,0.0,0.0,1.6650092116627218e-05,0.00045385033821275045,4.07285659560921,0.0
gnn_replay,none,4,Botnet,0.0005434301381583022,0.17808219178082194,0.002147047596160777,,,,0.0007011030654855716,0.0010425694802683489,1.972026741777783e-05,0.0,0.0,0.0003775525413562734,0.009748757223352143,2.296735635601091,0.0
gnn_replay,none,5,PortScan,0.0002696090221281935,1.972026741777783e-05,0.0014951499550556,,,,0.00036740989514848004,0.00041142668634813366,0.5739110239378982,0.0,0.0,7.209701374133459e-06,0.0001966748278194106,5.304551231900533,0.0
gnn_replay,none,6,DDoS,0.00033229395292305275,0.0,0.00016191387704522794,,,,0.00038951869623052803,0.0004458587644654033,,0.0,0.0,1.1013000761761477e-05,0.0003005253777712688,2.188333307000131,0.0
gnn_joint,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,10.25765682113857,0.0
gnn_joint,none,1,DoS,0.0012952194512726694,0.011562123762560774,0.011137898617342762,,,,0.0003895044382658627,0.0026226074533344046,0.0,0.0,0.0,0.0,0.0,18.112679626956876,0.0
gnn_joint,none,2,WebAttack,0.0005333749950830628,0.024056261216234456,0.006364776836561064,,,,0.00035707801477418604,0.0011713558811288591,0.0,0.0,0.0,0.0,0.0,20.294606428739822,0.0
gnn_joint,none,3,Infiltration,0.00011675221599441855,0.0019839163182306264,0.0006431169336304507,,,,1.1870819882457834e-05,0.00021379520102370338,0.0,0.0,0.0,0.0,0.0,22.38834270467061,0.0
gnn_joint,none,4,Botnet,0.0003154759267385616,0.015817815594236354,0.0018463408974675086,,,,0.00020935807146127368,0.0006177198881206052,0.0,0.0,0.0,0.0,0.0,26.331454024141657,0.0
gnn_joint,none,5,PortScan,0.0015432687080354137,0.0,0.007535248470806507,,,,1.8304331894683055e-05,0.002369003014496818,0.0019541166202998593,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,26.84984881048857,0.0
gnn_joint,none,6,DDoS,0.001433417491533568,0.0,0.006184430771733507,,,,0.0002681969987764483,0.0019340216601552314,,0.0,0.0,0.0,0.0,36.97550403405145,0.0
